customer_id,first_name,last_name,birth_date,state,zip_code,program
1,Joseph,Mcdaniel,1952-08-28,WV,24722,Claim Administration
2,Andrew,Curtis,1997-04-22,WY,82855,Financial Planning
3,Megan,Henry,1981-08-20,NJ,08452,Claim Administration
4,Stephanie,Acosta,1951-11-06,MT,59167,Claim Administration
5,Stephanie,Johnson,1997-11-20,AZ,85272,Technical Support
6,Brooke,Warren,1952-02-28,ND,58230,Claim Administration
7,Cheryl,Williams,1957-06-10,IA,52335,Financial Planning
8,Robert,Ramirez,1950-03-20,GA,31850,Financial Planning
9,Nicole,Baxter,1952-04-25,IA,50680,Technical Support
10,Sue,Wright,1984-06-10,DE,19750,Technical Support
11,Aimee,Delgado,1984-09-07,MD,21420,Technical Support
12,Michelle,Smith,1973-03-06,PA,15715,Financial Planning
13,Virginia,Mays,1988-04-12,NV,89340,Claim Administration
14,Margaret,Thomas,1952-07-29,WY,82050,Technical Support
15,Jerry,Cardenas,1958-06-14,AR,71910,Financial Planning
16,Rodney,Miles,1953-01-28,MA,01087,Claim Administration
17,Matthew,Lopez,1993-04-06,NH,03371,Technical Support
18,Michele,Henderson,1990-12-31,DE,19702,Financial Planning
19,Tracy,Chapman,1981-10-22,PA,18797,Technical Support
20,Meagan,Mitchell,1994-10-07,MO,64828,Technical Support
21,Robert,Yates,1987-10-25,AK,99550,Financial Planning
22,Dawn,Moore,1970-12-10,CO,81017,Technical Support
23,Nathan,Frederick,1976-05-05,VA,22691,Technical Support
24,Derrick,Kirk,1958-09-19,SC,29726,Financial Planning
25,Katie,Lawson,1964-11-21,NH,03552,Technical Support
26,Ashley,Anthony,1987-02-15,OK,73078,Financial Planning
27,Austin,Anderson,1966-06-21,UT,84519,Claim Administration
28,Susan,Rice,1977-07-03,NM,88075,Financial Planning
29,Bonnie,Hopkins,1948-06-01,OR,97811,Claim Administration
30,Nicole,Henderson,1955-05-17,AL,36183,Technical Support
31,Dale,Nelson,1986-12-27,WA,99292,Claim Administration
32,Candice,Pham,1967-10-14,MO,65767,Claim Administration
33,Daniel,Reyes,1985-07-29,TN,37907,Technical Support
34,Jeffrey,King,1994-11-26,ID,83575,Claim Administration
35,David,Wright,1996-09-11,GA,30481,Claim Administration
36,Desiree,Wilson,1973-08-10,SC,29381,Technical Support
37,Brittany,Yang,1954-05-18,NY,14202,Financial Planning
38,Cheryl,Thompson,1955-05-24,PA,17898,Claim Administration
39,Joseph,Ward,1986-11-27,NV,88991,Financial Planning
40,Heather,Tyler,1984-01-24,MN,55155,Technical Support
41,Kathleen,Acosta,1960-11-08,NY,12043,Technical Support
42,Antonio,Edwards,1969-11-27,ND,58687,Technical Support
43,Hayley,Ballard,1973-07-10,AZ,86168,Technical Support
44,Paul,Calhoun,1968-10-06,GA,31785,Financial Planning
45,Timothy,Jenkins,1994-03-30,NC,28601,Technical Support
46,James,Wallace,1987-08-29,MT,59285,Technical Support
47,Tiffany,Blair,1992-11-23,NC,28471,Technical Support
48,John,Erickson,1991-03-17,LA,70171,Technical Support
49,Matthew,Barton,1996-03-08,OH,45721,Claim Administration
